page	part_number	quantity	description
201	8408	1	Ignition switch.
201	12868	1	Voltage regulator.
201	8245	1	Generator assembly.
201		1	Tachometer elbow connection.
201	12945	1	Delco box.
201	12819	2	Contact-arm springs.
201	13181	2	Brush arms.
201	12999	1	Brush-arm spring.
201	12825	1	Clamp spring.
201	12935	2	Distributor wrenches.
201	12748	6	Rotor brushes.
201	12821	6	Rotor-brush springs.
201	12892	2	Contact-arm assemblies.
201	12890	1	Contact-arm assembly.
201	12826	1	Resistance-unit assembly.
201	12885	3	Screws.
201	12701	3	Nuts.
201	12820	6	Breaker-arm spring.
201	12788	6	Terminal nuts.
201	12772	16	Lock washers.
201	12641	16	Cotter pins.
201	12790	8	Cotter pins.
201	12736	1	Resistance unit (right hand).
201	12737	1	Resistance unit (left hand).
201	SH868A	1	Flywheel.
201	SH136B	1	Flywheel key.
201	SH64JH	2	Screw for flywheel key.
201	8210	1	Generator driving-shaft assembly.
201	8146	1	Generator driving shaft.
201	8501	1	Generator driving-shaft plug.
201	8060	1	Generator driving-shaft ball-bearing (upper).
201	8524	1	Generator driving-shaft ball-bearing (upper) retainer.
201	8544	x	Generator driving-shaft ball-bearing (upper) shim.
201	8154	1	Generator driving-shaft ball-bearing (upper) container.
201	8149	1	Generator driving-shaft gear spacer (short).
201	8080	1	Generator driving-shaft gear (upper).
201	8150	1	Generator driving-shaft gear spacer (long).
201	8148	1	Generator driving-shaft ball-bearing (lower) and container assembly.
201	8060	1	Generator driving-shaft ball-bearing (lower).
201	8147	1	Generator driving-shaft ball-bearing (lower) container.
201	8209	1	Generator driving-shaft ball-bearing (lower) oil-retaining washer.
201	8074	1	Generator driving-shaft gear (lower).
201	8151	1	Generator driving-shaft gear nut.
201	173	1	Generator driving-shaft cotter (⅛ inch by 1⅜ inches).
201	160	4	Generator driving-gear key (3/16 inch by ⅛ inch by 1 3/16 inches).
201	8511	x	Generator driving-shaft ball-bearing (upper) container shim.
201	8347	1	Generator driving-shaft ball-bearing (upper) container gasket.
201	214	1	Generator driving-shaft ball-bearing (upper) retainer screw (¼ by 20 by ¾- / inch F. H. screw).
201	SH144B	1	Governor spindle.
201	SH141A	1	Governor housing.
201	SH145A	1	Governor housing.
201	SH143A	1	Governor thrust-bearing cup.
201	SH143B	1	Governor thrust-bearing mount.
201	SH143C	1	Governor-ball retainer.
201	SH143D	1	Governor-ball cup hub.
201	SH142A	1	Governor-arm bushing.
201	SH142B	1	Governor-arm bushing set screw.
201	SH142C	1	Check nut.
201	SH142D	1	Governor-spindle washer.
201	SH142E	1	Governor arm.
201	SH142F	1	Governor-bearing spacer.
201	SH142G	2	Felt-retaining washer.
201	SH142H	1	Oil-retaining washer.
201	SH44C	1	Governor-spindle key.
201	SH193A	1	Double-drive sprocket.
201	SH144A	1	Governor lever.
203	8200	1	Oil-pump assembly.
203	8190	1	Oil-pump body (lower half).
203	161	1	Oil-pump body (lower half) plug (⅛-inch pipe).
203	8420	2	Oil-pump connection.
203	207	2	Oil-pump tube connection gasket (⅞-inch annular).
203	8185	1	Oil-pump driving-shaft bushing (lower).
203	8186	1	Oil-pump (lower) driving gear.
203	8178	1	Oil-pump (lower) driven gear.
203	8138	1	Oil-pump separating plate.
203	8383	1	Oil-pump driven-gear pin (long).
203	8179	1	Oil-pump driven-gear pin (short).
203	8177	2	Oil-pump (upper) driven gear.
203	8187	1	Oil-pump (upper) driving gear.
203	8189	1	Oil pump body (upper half).
203	8221	2	Oil-pump body (upper half) plug (machined with body).
203	8201	1	Oil-pump driving-shaft bushing (upper).
203	118	4	Oil-pump body bolt (¼ inch—28 by 1 5/16 inches, standard) (⅞ inch between / head and nut).
203	111	8	Oil-pump body bolt washer (¼ inch).
203	101	4	Oil-pump body bolt nut (¼ inch—28 std.).
203	106	4	Oil-pump body bolt cotter (1/16 by ½ inches).
203	8184	1	Oil-pump driving shaft.
203	8368	1	Oil-pump pressure relief valve seat.
203	8384	1	Oil-pump pressure relief valve guide.
203	8191	1	Oil-pump pressure relief valve spring.
203	8192	1	Oil-pump pressure relief valve.
203	177	1	Oil-pump pressure relief valve guide lock wire.
203	8220	1	Oil-pump screen and housing (lower) assembly.
203	8203	1	Oil-pump screen housing (lower).
203	8466	1	Oil-pump screen (lower) side.
203	8465	1	Oil-pump screen (lower) top.
203	8381	1	Oil-pump body (lower) lower half cover.
203	8133	1	Oil-pump body (lower half) cover drain plug (plug ⅝ inch—18 thd., hex. / hd.).
203	158	1	Oil-pump body (lower) half cover drain plug gasket (⅝ inch annular).
203	8382	1	Oil-pump body (lower) half cover gasket.
203	116	10	Oil-pump body (lower) half cover bolt (¼ inch—28 by 15/16 inch) (½ inch / between head and nut).
203	111	20	Oil-pump body (lower) half cover bolt washer (¼ inch).
203	101	10	Oil-pump body (lower) half cover bolt nut (¼ inch—28 thd. std.).
203	106	10	Oil-pump body (lower) half cover bolt cotter (1/16 inch by ½ inch).
203	8531	1	Oil-pump screen and housing (upper) assembly.
203	8534	1	Oil-pump screen housing (upper).
